"","Group","Species","Longitude","Latitude"
"1","Birds","Schiffornis virescens",-48.415555,-24.269166
"2","Birds","Tachyphonus coronatus",-48.415555,-24.269166
"3","Birds","Thamnophilus caerulescens",-48.415555,-24.269166
"4","Birds","Trichothraupis melanops",-48.415555,-24.269166
"5","Birds","Turdus albicollis",-48.415555,-24.269166
"6","Birds","Turdus rufiventris",-48.415555,-24.269166
"7","Birds","Chiroxiphia caudata",-48.415555,-24.269166
"8","Birds","Euphonia pectoralis",-48.415555,-24.269166
"9","Birds","Habia rubica",-48.415555,-24.269166
"10","Birds","Lathrotriccus euleri",-48.415555,-24.269166
"11","Birds","Basileuterus culicivorus",-48.415555,-24.269166
"12","Birds","Leptopogon amaurocephalus",-48.415555,-24.269166
"13","Birds","Attila rufus",-48.364722,-24.304722
"14","Birds","Basileuterus culicivorus",-48.364722,-24.304722
"15","Birds","Carpornis cucullata",-48.364722,-24.304722
"16","Birds","Chiroxiphia caudata",-48.364722,-24.304722
"17","Birds","Elaenia mesoleuca",-48.364722,-24.304722
"18","Birds","Euphonia pectoralis",-48.364722,-24.304722
"19","Birds","Habia rubica",-48.364722,-24.304722
"20","Birds","Haplospiza unicolor",-48.364722,-24.304722
"21","Birds","Ilicura militaris",-48.364722,-24.304722
"22","Birds","Leptopogon amaurocephalus",-48.364722,-24.304722
"23","Birds","Mionectes rufiventris",-48.364722,-24.304722
"24","Birds","Myiarchus swainsoni",-48.364722,-24.304722
"25","Birds","Orthogonys chloricterus",-48.364722,-24.304722
"26","Birds","Turdus flavipes",-48.364722,-24.304722
"27","Birds","Schiffornis virescens",-48.364722,-24.304722
"28","Birds","Tangara cyanoptera",-48.364722,-24.304722
"29","Birds","Trichothraupis melanops",-48.364722,-24.304722
"30","Birds","Turdus albicollis",-48.364722,-24.304722
"31","Birds","Turdus rufiventris",-48.364722,-24.304722
"32","Birds","Trogon rufus",-48.364722,-24.304722
"33","Birds","Baryphthengus ruficapillus",-48.364722,-24.304722
"34","Birds","Veniliornis spilogaster",-48.364722,-24.304722
"35","Birds","Lathrotriccus euleri",-48.364722,-24.304722
"36","Birds","Arremon flavirostris",-48.364722,-24.304722
"37","Birds","Basileuterus culicivorus",-48.416666,-24.316666
"38","Birds","Chiroxiphia caudata",-48.416666,-24.316666
"39","Birds","Elaenia mesoleuca",-48.416666,-24.316666
"40","Birds","Euphonia pectoralis",-48.416666,-24.316666
"41","Birds","Habia rubica",-48.416666,-24.316666
"42","Birds","Haplospiza unicolor",-48.416666,-24.316666
"43","Birds","Ilicura militaris",-48.416666,-24.316666
"44","Birds","Leptopogon amaurocephalus",-48.416666,-24.316666
"45","Birds","Lipaugus lanioides",-48.416666,-24.316666
"46","Birds","Mionectes rufiventris",-48.416666,-24.316666
"47","Birds","Pachyramphus validus",-48.416666,-24.316666
"48","Birds","Phylloscartes oustaleti",-48.416666,-24.316666
"49","Birds","Turdus flavipes",-48.416666,-24.316666
"50","Birds","Schiffornis virescens",-48.416666,-24.316666
"51","Birds","Tachyphonus coronatus",-48.416666,-24.316666
"52","Birds","Trichothraupis melanops",-48.416666,-24.316666
"53","Birds","Turdus albicollis",-48.416666,-24.316666
"54","Birds","Turdus rufiventris",-48.416666,-24.316666
"55","Birds","Leptotila verreauxi",-48.416666,-24.316666
"56","Birds","Trogon rufus",-48.416666,-24.316666
"57","Birds","Baryphthengus ruficapillus",-48.416666,-24.316666
"58","Birds","Selenidera maculirostris",-48.416666,-24.316666
"59","Birds","Celeus flavescens",-48.416666,-24.316666
"60","Birds","Turdus subalaris",-48.416666,-24.316666
"61","Birds","Attila rufus",-48.40777778,-24.278333
"62","Birds","Basileuterus culicivorus",-48.40777778,-24.278333
"63","Birds","Cacicus chrysopterus",-48.40777778,-24.278333
"64","Birds","Camptostoma obsoletum",-48.40777778,-24.278333
"65","Birds","Carpornis cucullata",-48.40777778,-24.278333
"66","Birds","Chiroxiphia caudata",-48.40777778,-24.278333
"67","Birds","Cyclarhis gujanensis",-48.40777778,-24.278333
"68","Birds","Elaenia mesoleuca",-48.40777778,-24.278333
"69","Birds","Euphonia pectoralis",-48.40777778,-24.278333
"70","Birds","Haplospiza unicolor",-48.40777778,-24.278333
